NGC_BMU_ID,SETT_BMU_ID,FUEL TYPE,EFF_FROM,EFF_TO,Comments,Further Fuel Type,EELPS?,Updated 21/12/2023
COUWW-1,T_COUWW-1,WIND,2016-07-27 00:00:00,,,,,
COVNB-1,T_COVNB-1,OTHER,2023-01-19 00:00:00,,,BATTERY,,
COWE1,E_COWE1,OCGT,2001-03-27 00:00:00,,,,,
COWE2,E_COWE2,OCGT,2001-03-27 00:00:00,,,,,
CRDEW-1,T_CRDEW-1,WIND,2020-11-26 00:00:00,,,,,
CRDEW-2,T_CRDEW-2,WIND,2020-11-26 00:00:00,,,,,
CREAW-1,T_CREAW-1,WIND,2022-09-27 00:00:00,,,,,
CRGHW-1,T_CRGHW-1,WIND,2012-09-19 00:00:00,,,,,
CRGTW-1,E_CRGTW-1,WIND,2018-04-26 00:00:00,,,,,
CRMHW-1,,WIND,2008-06-23 00:00:00,,,,EELPS,
CRMLW-1,T_CRMLW-1,WIND,2016-06-23 00:00:00,,,,,
CRMNW-1,,WIND,2015-12-23 00:00:00,,,,EELPS,
CRUA-1,T_CRUA-1,PS,2019-01-01 00:00:00,,,,,
CRUA-2,T_CRUA-2,PS,2019-01-01 00:00:00,,,,,
CRUA-3,T_CRUA-3,PS,2019-01-01 00:00:00,,,,,
CRUA-4,T_CRUA-4,PS,2019-01-01 00:00:00,,,,,
CRYRW-1,,WIND,2008-06-23 00:00:00,,,,EELPS,
CRYRW-2,T_CRYRW-2,WIND,2011-12-01 00:00:00,,,,,
CRYRW-3,T_CRYRW-3,WIND,2016-06-23 00:00:00,,,,,
CUMHW-1,T_CUMHW-1,WIND,2022-09-02 00:00:00,,,,,
CUPAB-1,,OTHER,2022-10-24 00:00:00,,,BATTERY,,
DALQW-1,T_DALQW-1,WIND,2022-06-10 00:00:00,,,,,
DALSW-1,E_DALSW-1,WIND,2011-12-01 00:00:00,,,,,
DAMC-1,T_DAMC-1,CCGT,2019-01-01 00:00:00,,,,,
DDGNO-1,T_DDGNO-1,WIND,2016-06-21 00:00:00,,,,,
DDGNO-2,T_DDGNO-2,WIND,2016-06-21 00:00:00,,,,,
DDGNO-3,T_DDGNO-3,WIND,2016-06-21 00:00:00,,,,,
DDGNO-4,T_DDGNO-4,WIND,2016-06-21 00:00:00,,,,,
DEEP-1,T_DEEP-1,CCGT,2001-03-27 00:00:00,,,,,
DEUCW-1,,WIND,2017-07-30 00:00:00,,,,EELPS,
DIDC01G,E_DIDC01G,OCGT,2013-04-04 00:00:00,,,,,
DIDC02G,E_DIDC02G,OCGT,2013-04-04 00:00:00,,,,,
DIDC03G,E_DIDC03G,OCGT,2013-04-04 00:00:00,,,,,
DIDC04G,E_DIDC04G,OCGT,2013-04-04 00:00:00,,,,,
DIDCB5,T_DIDCB5,CCGT,2001-03-27 00:00:00,,,,,
DIDCB6,T_DIDCB6,CCGT,2001-03-27 00:00:00,,,,,
DINO-1,T_DINO-1,PS,2001-03-27 00:00:00,,,,,
DINO-2,T_DINO-2,PS,2001-03-27 00:00:00,,,,,
DINO-3,T_DINO-3,PS,2001-03-27 00:00:00,,,,,
DINO-4,T_DINO-4,PS,2001-03-27 00:00:00,,,,,
DINO-5,T_DINO-5,PS,2001-03-27 00:00:00,,,,,
DINO-6,T_DINO-6,PS,2001-03-27 00:00:00,,,,,
DNBAR-1,2__NSMAR001,BIOMASS,2018-04-25 00:00:00,,,,,
DNGB21,T_DNGB21,NUCLEAR,2001-03-27 00:00:00,,,,,
