NGC_BMU_ID,SETT_BMU_ID,FUEL TYPE,EFF_FROM,EFF_TO,Comments,Further Fuel Type,EELPS?,Updated 21/12/2023
SPEY-1,,BIOMASS,2016-09-25 00:00:00,,,,EELPS,
SPLN-1,T_SPLN-1,CCGT,2004-03-04 00:00:00,,,,,
STAY-1,T_STAY-1,CCGT,2009-09-01 00:00:00,,,,,
STAY-2,T_STAY-2,CCGT,2009-09-01 00:00:00,,,,,
STAY-3,T_STAY-3,CCGT,2009-09-01 00:00:00,,,,,
STAY-4,T_STAY-4,CCGT,2009-09-01 00:00:00,,,,,
STCR-1,,BIOMASS,2017-07-31 00:00:00,,,,EELPS,
STLGW-1,T_STLGW-1,WIND,2018-01-08 00:00:00,,,,,
STLGW-2,T_STLGW-2,WIND,2018-01-08 00:00:00,,,,,
STLGW-3,T_STLGW-3,WIND,2018-01-08 00:00:00,,,,,
STPSW-1,,WIND,2014-10-09 00:00:00,,,,EELPS,
STRNW-1,T_STRNW-1,WIND,2015-06-18 00:00:00,,,,,
SUTB-1,T_SUTB-1,CCGT,2009-05-06 00:00:00,,,,,
SUTBS-1,T_SUTBS-1,OTHER,2022-09-02 00:00:00,,,SOLAR,,
SVRP-10,T_SVRP-10,CCGT,2009-07-01 00:00:00,,,,,
SVRP-20,T_SVRP-20,CCGT,2009-07-01 00:00:00,,,,,
TANGW-1,,WIND,2005-03-17 00:00:00,,,,EELPS,
TAYL2G,E_TAYL2G,OCGT,2016-08-31 00:00:00,,,,,
TAYL3G,E_TAYL3G,OCGT,2016-08-31 00:00:00,,,,,
TDBNW-1,T_TDBNW-1,WIND,2009-07-26 00:00:00,,,,,
THNTO-1,T_THNTO-1,WIND,2015-07-01 00:00:00,,,,,
THNTO-2,T_THNTO-2,WIND,2015-07-01 00:00:00,,,,,
TKNEW-1,T_TKNEW-1,WIND,2020-12-01 00:00:00,,,,,
TKNWW-1,T_TKNWW-1,WIND,2020-12-01 00:00:00,,,,,
TLYMW-1,E_TLYMW-1,WIND,2018-04-16 00:00:00,,,,,
TMNCW-1,,WIND,2019-01-03 00:00:00,,,,,
TMWLW-1,,WIND,2016-09-29 00:00:00,,,,EELPS,
TONG-1,,NPSHYD,2019-01-01 00:00:00,,,HYDRO,EELPS,
TONG-2,,NPSHYD,2008-10-12 00:00:00,,,HYDRO,EELPS,
TONG-3,,NPSHYD,2008-10-12 00:00:00,,,HYDRO,EELPS,
TORN-1,T_TORN-1,NUCLEAR,2004-04-01 00:00:00,,,,,
TORN-2,T_TORN-2,NUCLEAR,2004-04-01 00:00:00,,,,,
TRLGW-1,T_TRLGW-1,WIND,2020-04-30 00:00:00,,,,,
TSREP-1,T_TSREP-1,BIOMASS,2018-07-04 00:00:00,,,,,
TULWW-1,E_TULWW-1,WIND,2010-06-16 00:00:00,,,,,
TULWW-2,E_TULWW-2,WIND,2014-03-01 00:00:00,,,,,
TUMB-1,,NPSHYD,2004-04-01 00:00:00,,,HYDRO,EELPS,
TUMB-2,,NPSHYD,2004-04-01 00:00:00,,,HYDRO,EELPS,
TWSHW-1,T_TWSHW-1,WIND,2021-03-05 00:00:00,,,,,
USKM-13,T_USKM-13,BIOMASS,2017-08-31 00:00:00,,,,,
USKM-14,T_USKM-14,BIOMASS,2017-08-31 00:00:00,,,,,
USKM-15,T_USKM-15,BIOMASS,2017-08-31 00:00:00,,,,,
WBUGT-1,T_WBUGT-1,OCGT,2001-03-27 00:00:00,,,,,
WBUGT-4,T_WBUGT-4,OCGT,2001-03-27 00:00:00,,,,,
WBUPS-1,T_WBUPS-1,COAL,2001-03-27 00:00:00,,,,,
WBUPS-2,T_WBUPS-2,COAL,2001-03-27 00:00:00,,,,,
WBUPS-3,T_WBUPS-3,COAL,2001-03-27 00:00:00,,,,,
WBUPS-4,T_WBUPS-4,COAL,2001-03-27 00:00:00,,,,,
WBURB-1,T_WBURB-1,CCGT,2010-02-25 00:00:00,,,,,
WBURB-2,T_WBURB-2,CCGT,2010-02-25 00:00:00,,,,,
WBURB-3,T_WBURB-3,CCGT,2010-02-25 00:00:00,,,,,
WBURB-41,T_WBURB-41,OTHER,2018-01-02 00:00:00,,,BATTERY,,
WBURB-43,T_WBURB-43,OTHER,2018-01-02 00:00:00,,,BATTERY,,
WDNSO-1,T_WDNSO-1,WIND,2014-11-28 00:00:00,,,,,
WDNSO-2,T_WDNSO-2,WIND,2014-11-28 00:00:00,,,,,
WDRGW-1,T_WDRGW-1,WIND,2020-11-19 00:00:00,,,,,
WHIHW-1,T_WHIHW-1,WIND,2018-01-17 00:00:00,,,,,
WHILW-1,T_WHILW-1,WIND,2011-05-31 00:00:00,,,,,
WHILW-2,T_WHILW-2,WIND,2011-12-08 00:00:00,,,,,
WILCT-1,T_WILCT-1,BIOMASS,2017-08-31 00:00:00,,,,,
WINN-1,E_WINN-1,OTHER,2001-03-27 00:00:00,,,CHP,,
WISHB-1,T_WISHB-1,OTHER,2022-09-07 00:00:00,,,BATTERY,,
WISTW-2,T_WISTW-2,WIND,2017-01-26 00:00:00,,,,,
WLNYO-2,T_WLNYO-2,WIND,2015-07-01 00:00:00,,,,,
WLNYO-3,T_WLNYO-3,WIND,2016-05-12 00:00:00,,,,,
WLNYO-4,T_WLNYO-4,WIND,2016-05-12 00:00:00,,,,,
WLNYW-1,T_WLNYW-1,WIND,2011-03-01 00:00:00,,,,,
WTGRW-1,T_WTGRW-1,WIND,2018-09-09 00:00:00,,,,,
WTMSO-1,T_WTMSO-1,WIND,2014-12-01 00:00:00,,,,,
FDUNT-1,E_FDUN-1,WIND,2000-01-01,,,,,
GFLDW-1,E_GFLDW-1,WIND,2013-01-01,,,,,
SGRWO-1,T_SGRWO-1,WIND,2022-12-05,,,,,
SGRWO-2,T_SGRWO-2,WIND,2022-12-06,,,,,
SGRWO-4,T_SGRWO-4,WIND,2022-12-06,,,,,
SGRWO-5,T_SGRWO-5,WIND,2022-12-06,,,,,
SGRWO-6,T_SGRWO-6,WIND,2022-12-06,,,,,
SGRWO-3,T_SGRWO-3,WIND,2022-12-06,,,,,
DBAWO-3,T_DBAWO-3,WIND,2023-06-06,,,,,
DBAWO-1,T_DBAWO-1,WIND,2023-06-06,,,,,
DBAWO-2,T_DBAWO-2,WIND,2023-06-06,,,,,
DBAWO-5,T_DBAWO-5,WIND,2023-06-06,,,,,
DBAWO-4,T_DBAWO-4,WIND,2023-06-06,,,,,
VKNGW-4,T_VKNGW-4,WIND,2024-04-17,,,,,
VKNGW-3,T_VKNGW-3,WIND,2024-04-17,,,,,
VKNGW-2,T_VKNGW-2,WIND,2024-04-17,,,,,
VKNGW-1,T_VKNGW-1,WIND,2024-04-17,,,,,
KHLLW-1,E_KHLLW-1,WIND,2024-06-10,,,,,
MOWWO-2,T_MOWWO-2,WIND,2024-07-15,,,,,
MOWWO-4,T_MOWWO-4,WIND,2024-07-15,,,,,
MOWWO-3,T_MOWWO-3,WIND,2024-07-15,,,,,
MOWWO-1,T_MOWWO-1,WIND,2024-07-15,,,,,
LIMKW-1,T_LIMKW-1,WIND,2024-07-19,,,,,
