,local_datetime,recordType,bmUnitID,bMUnitType,leadPartyName,ngcBMUnitName,settlementDate,settlementPeriod,timeFrom,pnLevelFrom,timeTo,pnLevelTo,activeFlag,qpnLevelFrom,qpnLevelTo,melLevelFrom,melLevelTo,milLevelFrom,milLevelTo,bidOfferAcceptanceNumber,acceptanceTime,deemedBidOfferFlag,soFlag,storProviderFlag,rrInstructionFlag,rrScheduleFlag,bidOfferLevelFrom,bidOfferLevelTo
1644,2022-03-19 13:00:00+00:00,QPN,2__DBGAS000,G,British Gas Trading Ltd,MNW-BGS01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1645,2022-03-19 13:00:00+00:00,QPN,2__DBIZZ000,G,British Gas Trading Ltd,MNW-BIZ01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1646,2022-03-19 13:00:00+00:00,QPN,2__DEDFE000,G,EDF Energy Customers Ltd,MNW-EDF01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1647,2022-03-19 13:00:00+00:00,QPN,2__DEDIR000,G,British Gas Trading Ltd,MNW-EDR01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1648,2022-03-19 13:00:00+00:00,QPN,2__DEELC000,G,E.ON Energy Solutions Limited,MNW-EAS01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1649,2022-03-19 13:00:00+00:00,QPN,2__DEENG000,G,E.ON Energy Solutions Limited,MNW-EST01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1650,2022-03-19 13:00:00+00:00,QPN,2__DEMEB000,G,E.ON Energy Solutions Limited,MNW-PGE01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1651,2022-03-19 13:00:00+00:00,QPN,2__DENRD000,G,British Gas Trading Ltd,MNW-ENR01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1652,2022-03-19 13:00:00+00:00,QPN,2__DHAVE000,G,Drax Energy Solutions Limited,MNW-HVN01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1653,2022-03-19 13:00:00+00:00,QPN,2__DHPOW000,G,Drax Energy Solutions Limited,MNW-HPW01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1654,2022-03-19 13:00:00+00:00,QPN,2__DHYDE000,G,OVO Electricity Ltd,MNW-SSE01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1655,2022-03-19 13:00:00+00:00,QPN,2__DIMPO000,G,SSE Energy Supply Limited,MNW-ATL01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1656,2022-03-19 13:00:00+00:00,QPN,2__DLOND000,G,EDF Energy Customers Ltd,MNW-LON01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1657,2022-03-19 13:00:00+00:00,QPN,2__DLOND001,S,EDF Energy Customers Ltd,AG-DEDF01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1658,2022-03-19 13:00:00+00:00,QPN,2__DMANW000,G,SP Energy Retail Ltd,MNW-MNW01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1659,2022-03-19 13:00:00+00:00,QPN,2__DNATP000,G,Npower Commercial Gas Limited,MNW-NPE01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1660,2022-03-19 13:00:00+00:00,QPN,2__DNORW000,G,E.ON Energy Solutions Limited,MNW-NWP01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1661,2022-03-19 13:00:00+00:00,QPN,2__DOGAS000,G,British Gas Trading Ltd,MNW-OGA01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1662,2022-03-19 13:00:00+00:00,QPN,2__DPGEN000,G,E.ON UK plc,MNW-PGU01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1663,2022-03-19 13:00:00+00:00,QPN,2__DRWED000,G,ENGIE Power Limited,MNW-GDF01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1664,2022-03-19 13:00:00+00:00,QPN,2__DSEEB000,G,EDF Energy Customers Ltd,MNW-SEE01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1665,2022-03-19 13:00:00+00:00,QPN,2__DSMAE001,S,Smartestenergy Limited,AG-DSMA01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1666,2022-03-19 13:00:00+00:00,QPN,2__DSMAR000,G,Smartestenergy Limited,MNW-SEL01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1667,2022-03-19 13:00:00+00:00,QPN,2__DSOUT000,G,OVO Electricity Ltd,MNW-STH01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
